code,continentCode,country,countryAr,agreementsAr,agreements,goalsAr,goals,signDateAr,signDate,continentAr,continent,entity,entityAr
KR,AS,South Korea,كوريا الجنوبية,مذكرة تفاهم بشأن التعاون في مجالات التعليم المتعلقة بالإلكترونيات الدقيقة وأشباه الموصلات بين وزارة التربية والتعليم بدولة الامارات العربية المتحدة ووزارة التجارة والصناعة والطاقة بجمهورية كوريا,"Memorandum of Understanding on Cooperation in the Field of Education Related to Microelectronics and Semiconductors between the Ministry of Education of the United Arab Emirates and the Ministry of Trade, Industry and Energy of the Republic of Korea",تقوية التعاون في مجالات التعليم المتعلقة بالإلكترونيات الدقيقة وأشباه المواصلات وتبادل التعاون بين كلا البلدين,Strengthening cooperation in the field of education related to microelectronics and semiconductors and exchange of cooperation between the two countries,25/مارس/2018,25/March/2018,آسيا,Asia,,
BH,AS,Bahrain,مملكة البحرين,مذكرة تفاهم في مجال التعليم العالي بين حكومة دولة الإمارات العربية المتحدة وحكومة مملكة البحرين,Memorandum of Understanding in the field of higher education between the Government of the United Arab Emirates and the Government of the Kingdom of Bahrain,تعزيز وتطوير التعاون في مجالات التي تخدم العملية التعليمية,Enhancing and developing cooperation in the fields that serve the educational process,30/أكتوبر/2018,30/October/2018,آسيا,Asia,,
SA,AS,Saudi Arabia,المملكة العربية السعودية,مذكرة تفاهم بين وزارة التربية والتعليم بدولة الإمارات العربية المتحدة ومؤسسة الملك عبد العزيز ورجاله للموهبة والابداع (موهبه) بالمملكة العربية السعودية.,Memorandum of Understanding between the Ministry of Education in the United Arab Emirates and King Abdul Aziz and His Companions' Practice of Giftedness and Creativity (Mawhiba) Kingdom of Saudi Arabia.,اكتشاف ورعاية الطلبة الموهوبين,Discovering and nurturing talented students,31/يناير/2019,31/January/2019,آسيا,Asia,,
AF,AS,Afghanistan,جمهورية أفغانستان  الإسلامية,مذكرة تفاهم بين حكومة دولة الإمارات العربية المتحدة وحكومة جمهورية أفغانستان الإسلامية بشأن التعاون في مجال التعليم.,Memorandum of Understanding between the Government of the United Arab Emirates and the Government of the Islamic Republic of Afghanistan on Cooperation in the Field of Education.,التعاون في مجال تطوير التعليم في أفغانستان وتقوية العلاقات التعليمية بين البلدين,Cooperation in the field of education development in Afghanistan and strengthening educational relations between the two countries,17/مارس/2019,17/March/2019,آسيا,Asia,,
SA,AS,Saudi Arabia,المملكة العربية السعودية,مذكرة تفاهم بين وزارة التربية والتعليم بدولة الإمارات العربية المتحدة ووزارة التعليم بالمملكة العربية السعودية (المنظومة الرقمية),,التعاون في بناء منظومة رقمية تكاملية للتعليم بين الدولتين تحتوي معلومات رقمية للمعلمين والطلبة والمناهج,"Cooperation in building an integrated digital education system between the two countries containing digital information for teachers, students and curricula",10/أبريل/2019,10/April/2019,آسيا,Asia,,
CN,AS,The People's Republic of China,جمهورية الصين الشعبية,مذكرة تفاهم بین وزارة التربية والتعليم بدولة الإمارات العربية المتحدة ومعھد كونفوشیوس/ ھانبان المركز الرئيس بجمهورية الصین الشعبية إدراج اللغة الصینیة ضمن مناهج التعليم بمدارس دولة الإمارات العربية المتحدة.,Memorandum of Understanding between the Ministry of Education of the United Arab Emirates and the Confucius Institute / Hanban Center in the People's Republic of China to include the Chinese language in the curricula of the schools of the United Arab Emirates.,إدراج اللغة الصينية ضمن مناهج التعليم في مدارس دولة الإمارات,Including the Chinese language in the curricula of the schools of the United Arab Emirates,22/يوليو/2019,22/July/2019,آسيا,Asia,,
BH,AS,Bahrain,مملكة البحرين,مذكرة تفاهم بين وزارة التربية والتعليم بدولة الإمارات العربية المتحدة ووزارة التربية والتعليم بمملكة البحرين في مجال التوأمة بين المدارس المنتسبة لليونسكو,Memorandum of Understanding between the Ministry of Education of the United Arab Emirates and the Ministry of Education of the Kingdom of Bahrain in the field of twinning between UNESCO-affiliated schools,التعاون المشترك لتفعيل مشروع شبكة المدارس المنتسبة لليونسكو بهدف رفع مستوى الوعي في مجال أهداف التنمية المستدامة في كلا البلدين,Joint cooperation to activate the UNESCO Associated Schools Network project with the aim of raising awareness in the field of sustainable development goals in both countries,15/نوفمبر/2019,15/November/2019,آسيا,Asia,,
KG,AS,Kyrgyzstan,الجمهورية القرغيزية,مذكرة تفاهم في مجال التعاون التعليمي والعلمي بين وزارة التربية والتعليم بدولة الامارات العربية المتحدة ووزارة التعليم والعلوم في جمهورية قيرغيزستان.,Memorandum of Understanding in the field of educational and scientific cooperation between the Ministry of Education of the United Arab Emirates and the Ministry of Education and Science in the Kyrgyz Republic.,تعزيز علاقات الصداقة بين البلدين وتحسين التعاون في مجالات التعليم والتعاون العلمي وتبادل الخبرات في مجالات التربوية والعلمية والتقنية,"Enhancing friendly relations between the two countries and improving cooperation in the fields of education and scientific cooperation and exchanging experiences in the fields of educational, scientific and technical",12/ديسمبر/2019,12/December/2019,آسيا,Asia,,
SA,AS,Saudi Arabia,المملكة العربية السعودية,مذكرة تفاهم بين وزارة التربية والتعليم بدولة الإمارات العربية المتحدة (مركز الإعلام التربوي) ووزارة التعليم بالمملكة العربية السعودية (قناة عين),Memorandum of Understanding between the Ministry of Education of the United Arab Emirates (Educational Media Center) and the Ministry of Education of the Kingdom of Saudi Arabia (Ain Channel),تبادل خبرات وأفضل الممارسات في مجال الإعلام التربوي,Exchange of experiences and best practices in the field of educational media,8/يناير/2020,8/January/2020,آسيا,Asia,,
ID,AS,Indonesia,اندونيسيا,مذكرة تفاهم بين وزارة التربية والتعليم بدولة الإمارات العربية المتحدة وزارة التعليم والثقافة في جمهورية اندونيسيا على التعاون في مجال التعليم,Memorandum of Understanding between the Ministry of Education of the United Arab Emirates and the Ministry of Education and Culture in the Republic of Indonesia on cooperation in the field of education,التعاون في مجال التعليم بين البلدين وتبادل القوانين واللوائح والسياسات المتبعة في هذا المجال,,12/يناير/2020,12/January/2020,آسيا,Asia,,
